Candidate,Candidate Timestamp,Matched Original Timestamp,Hamming Distance (64-bit),Similarity %,Robust Match (<0.15),Temporal Mapping,Candidate pHash,Original pHash
Rearranged,00:48.00,00:09.00,6,90.62,YES,Backward jump,eb963b1ba5c84958,ef965a1b85c85958
Rearranged,00:49.00,00:09.00,0,100.00,YES,Sequential,ef965a1b85c85958,ef965a1b85c85958
Rearranged,00:50.00,00:17.00,0,100.00,YES,Forward jump,e7965b1b85c85958,e7965b1b85c85958
Rearranged,00:51.00,00:25.00,2,96.88,YES,Forward jump,ed961b1ba5c85958,ed965b1b85c85958
Rearranged,00:52.00,00:26.00,0,100.00,YES,Sequential,ed965a1ba5c85358,ed965a1ba5c85358
Rearranged,00:53.00,00:26.00,2,96.88,YES,Sequential,ed965b1ba5c85318,ed965a1ba5c85358
Rearranged,00:54.00,00:28.00,0,100.00,YES,Sequential,ed967a1b85c85958,ed967a1b85c85958
Rearranged,00:55.00,00:09.00,2,96.88,YES,Backward jump,e7967a1b85c85958,ef965a1b85c85958
Rearranged,00:56.00,00:09.00,14,78.12,NO,Sequential,cb955817adcc485d,ef965a1b85c85958
Rearranged,00:57.00,00:34.00,8,87.50,YES,Forward jump,d3028c5708deaabf,c3528c7708dca87f
Rearranged,00:58.00,00:34.00,12,81.25,NO,Sequential,83f00c7708dcfe27,c3528c7708dca87f
Rearranged,00:59.00,00:06.00,4,93.75,YES,Backward jump,e7965a1b8dc85b18,ef965a1b85c85358
Rearranged,01:00.00,00:28.00,2,96.88,YES,Forward jump,ed967a1b85c85b18,ed967a1b85c85958
Rearranged,01:01.00,00:46.00,0,100.00,YES,Forward jump,ed965a3b85ca5119,ed965a3b85ca5119
Rearranged,01:02.00,00:46.00,0,100.00,YES,Sequential,ed965a3b85ca5119,ed965a3b85ca5119
Rearranged,01:03.00,00:25.00,0,100.00,YES,Backward jump,ed965b1b85c85958,ed965b1b85c85958
Rearranged,01:04.00,00:38.00,0,100.00,YES,Forward jump,ed965a1b85ca5958,ed965a1b85ca5958
Rearranged,01:05.00,00:36.00,2,96.88,YES,Backward jump,ed965a3b85c35918,ed965a3b85ca5918
Rearranged,01:06.00,00:36.00,0,100.00,YES,Sequential,ed965a3b85ca5918,ed965a3b85ca5918
Rearranged,01:07.00,00:54.00,2,96.88,YES,Forward jump,ed961a1b87c85359,ed961a3b87c85319
Rearranged,01:08.00,00:41.00,0,100.00,YES,Backward jump,ed963a3b87c85318,ed963a3b87c85318
Rearranged,01:09.00,00:31.00,0,100.00,YES,Backward jump,ed9c3a3b87c85318,ed9c3a3b87c85318
Rearranged,01:10.00,00:44.00,0,100.00,YES,Forward jump,ed961a3b85ca5319,ed961a3b85ca5319
Rearranged,01:11.00,00:51.00,0,100.00,YES,Forward jump,ed965a3b85c85319,ed965a3b85c85319
Rearranged,01:12.00,00:51.00,0,100.00,YES,Sequential,ed965a3b85c85319,ed965a3b85c85319
Rearranged,01:13.00,00:47.00,0,100.00,YES,Backward jump,ed965a3b87c85318,ed965a3b87c85318
Rearranged,01:14.00,00:47.00,2,96.88,YES,Sequential,ed965a1b87c85319,ed965a3b87c85318
